"filename", "language", "Markdown", "XML", "JSON", "C#", "comment", "blank", "total"
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Mutate\Step.cs", "C#", 0, 0, 0, 99, 9, 19, 127
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Process.cs", "C#", 0, 0, 0, 26, 3, 7, 36
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Semantics\Context.cs", "C#", 0, 0, 0, 10, 0, 4, 14
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Semantics\Tags.cs", "C#", 0, 0, 0, 147, 13, 26, 186
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Context.cs", "C#", 0, 0, 0, 13, 0, 2, 15
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\Context.cs", "C#", 0, 0, 0, 76, 2, 9, 87
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Constants.cs", "C#", 0, 0, 0, 57, 5, 6, 68
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Flow.cs", "C#", 0, 0, 0, 51, 4, 9, 64
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Math.cs", "C#", 0, 0, 0, 59, 7, 7, 73
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Memory.cs", "C#", 0, 0, 0, 41, 3, 7, 51
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList\Special.cs", "C#", 0, 0, 0, 56, 6, 9, 71
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\Step.cs", "C#", 0, 0, 0, 118, 7, 10, 135
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Phase.cs", "C#", 0, 0, 0, 23, 1, 4, 28
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\01 Lower\Virtual\Step.cs", "C#", 0, 0, 0, 8, 0, 3, 11
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Process.cs", "C#", 0, 0, 0, 24, 3, 6, 33
"c:\Driza\DrizaSharp\Compiler\Project.cs", "C#", 0, 0, 0, 57, 0, 13, 70
"c:\Driza\DrizaSharp\Compiler\Rules\Assembly.cs", "C#", 0, 0, 0, 21, 5, 9, 35
"c:\Driza\DrizaSharp\Compiler\Rules\Bindings.cs", "C#", 0, 0, 0, 21, 0, 4, 25
"c:\Driza\DrizaSharp\Compiler\Rules\Bindings\Lexer.cs", "C#", 0, 0, 0, 20, 0, 6, 26
"c:\Driza\DrizaSharp\Compiler\Rules\Bindings\Parser.cs", "C#", 0, 0, 0, 80, 3, 25, 108
"c:\Driza\DrizaSharp\Compiler\Rules\Context.cs", "C#", 0, 0, 0, 15, 0, 4, 19
"c:\Driza\DrizaSharp\Compiler\Rules\Context\Lexer.cs", "C#", 0, 0, 0, 30, 3, 5, 38
